Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Prothrombin time ratio decreased,,,,
Cataract cortical,,,,
Decreased appetite,loss_of_appetite,,,
Escherichia test positive,,,,
Myalgia,,,,
Narcolepsy,,,,
Ischaemic neuropathy,,,,
Endometrial stromal sarcoma,,,,
Lymph node rupture,,,,
Reactive gastropathy,,,,
Radiation mucositis,,,,
Arterial spasm,,,,
Urinary bladder toxicity,,,,
Limb crushing injury,,,,
Pneumonia klebsiella,,,,
Medical induction of coma,,,,
Peripheral revascularisation,,,,
Insulin tolerance test abnormal,,,,
Bladder cancer stage III,,,,
Gastrointestinal motility disorder,,,,
Tongue carcinoma stage IV,,,,
Peripheral sensory neuropathy,,,,
Hypertonic bladder,,,,
Salpingectomy,,,,
Vitello-intestinal duct remnant,,,,
Graft versus host disease in skin,,,,
Nerve injury,,,,
Stoma site irritation,,,,
High-pitched crying,,,,
Seroconversion test,,,,
Hairy cell leukaemia,,,,
Sickle cell disease,,,,
Arthropod sting,,,,
Subacute cutaneous lupus erythematosus,,,,
SLE arthritis,,,,
Exposure via eye contact,,,,
Strongyloidiasis,,,,
Microcytic anaemia,,,,
Infusion site dryness,,,,
Product substitution error,,,,
Reaction to food additive,,,,
Dermatitis diaper,,,,
Paraesthesia oral,,,,
Macrocephaly,,,,
Brain oedema,,,,
Oral mucosal blistering,,,,
Tumour perforation,,,,
Red blood cell nucleated morphology present,,,,
Lower urinary tract symptoms,,,,
Intestinal ulcer,,,,
Castleman's disease,,,,
Hyperreactio luteinalis,,,,
Insomnia,,,,
Pelvic fracture,,,,
Carotid artery stent insertion,,,,
Spinal instability,,,,
Globulins decreased,,,,
Haemoglobin abnormal,,,,
Lung diffusion test decreased,,,,
Ischaemic nephropathy,,,,
Kussmaul respiration,,,,
Pterygium operation,,,,
Sunburn,,,,
Hodgkin's disease refractory,,,,
Product tampering,,,,
Ligament injury,,,,
Congenital intestinal malformation,,,,
HIV antibody positive,,,,
Central nervous system fungal infection,,,,
Hordeolum,,,,
Infectious mononucleosis,,,,
Porencephaly,,,,
Vascular pseudoaneurysm ruptured,,,,
Bone erosion,,,,
Pharyngeal mass,,,,
Psychomotor skills impaired,,,,
Cerebral malaria,,,,
Intestinal pseudo-obstruction,,,,
Alveolar lung disease,,,,
Remission not achieved,,,,
Personality change due to a general medical condition,,,,
Patient-device incompatibility,,,,
Aggression,,,,
Cerebral ventricle collapse,,,,
Pancreatic enzymes increased,,,,
Vulval disorder,,,,
Decreased vibratory sense,,,,
Hypokinesia neonatal,,,,
Ductus arteriosus premature closure,,,,
Bladder catheter replacement,,,,
Eosinophilic otitis media,,,,
Blood pressure systolic decreased,,,,
Amusia,,,,
Clinical death,,,,
Bladder neoplasm surgery,,,,
Acute lymphocytic leukaemia refractory,,,,
Stomatitis necrotising,,,,
Intervertebral disc compression,,,,
Amino acid level abnormal,,,,
Cells in urine,,,,
Perianal erythema,,,,
Foetal malnutrition,,,,
Skin pressure mark,,,,
Therapeutic response unexpected,,,,
Soft tissue inflammation,,,,
Vertebroplasty,,,,
Breast sarcoma metastatic,,,,
Oral neoplasm,,,,
Hepatic cancer stage III,,,,
Retinal neovascularisation,,,,
Homeless,,,,
Ostectomy,,,,
Ovarian vein thrombosis,,,,
Change in sustained attention,,,,
Candida infection,,,,
Drug diversion,,,,
Deformity thorax,,,,
Primary hypothyroidism,,,,
Pulmonary congestion,congestion,,,
Suffocation feeling,,,,
Poor peripheral circulation,,,,
Vaginal cyst,,,,
Parakeratosis,,,,
Ejaculation delayed,,,,
Pancreatectomy,,,,
Dacryostenosis congenital,,,,
Vaccination site fibrosis,,,,
Immune-mediated myocarditis,,,,
Scrotal pain,,,,
Leukocytosis,,,,
Congenital skin disorder,,,,
Encapsulation reaction,,,,
Glomerular vascular disorder,,,,
Vulvovaginal warts,,,,
Cystitis radiation,,,,
Furuncle,,,,
Hyperoxaluria,,,,
Spinal ligament ossification,,,,
Transcription medication error,,,,
Dark circles under eyes,,,,
Atypical mycobacterial pneumonia,,,,
Enzyme activity abnormal,,,,
Pancreatic carcinoma metastatic,,,,
Oesophageal neoplasm,,,,
Glioblastoma multiforme,,,,
Loss of employment,,,,
Apgar score low,,,,
General anaesthesia,,,,
Specific gravity urine decreased,,,,
Hemiataxia,,,,
Accidental exposure to product by child,,,,
Injection site discolouration,,,,
Low density lipoprotein increased,,,,
Oedematous pancreatitis,,,,
Blood aldosterone increased,,,,
Cauda equina syndrome,,,,
Abdominal mass,,,,
Renal amyloidosis,,,,
Infectious disease carrier,,,,
Application site erosion,,,,
Peritonitis bacterial,,,,
Diaphragmatic paralysis,,,,
Stoma site pain,,,,
Neonatal tachypnoea,,,,
Ovarian germ cell teratoma benign,,,,
Urethral dilatation,,,,
Liver abscess,,,,
Leukaemia monocytic,,,,
Lacrimal haemorrhage,,,,
Transient acantholytic dermatosis,,,,
Methaemoglobinaemia,,,,
Genital infection fungal,,,,
Propofol infusion syndrome,,,,
Enteropathy-associated T-cell lymphoma,,,,
Hyperglycaemic seizure,,,,
Inflammatory carcinoma of breast stage IV,,,,
Breast cancer recurrent,,,,
Radiation proctitis,,,,
Ureteritis,,,,
Ear pruritus,,,,
Hypotonia,,,,
Acoustic neuritis,,,,
Antimitochondrial antibody,,,,
Acute generalised exanthematous pustulosis,,,,
Pneumococcal sepsis,,,,
Lip erythema,,,,
Embolism,,,,
Arthritis enteropathic,,,,
Joint prosthesis user,,,,
Intestinal atony,,,,
Non-high-density lipoprotein cholesterol increased,,,,
Hypodontia,,,,
Pleural adhesion,,,,
Breast disorder,,,,
Respiratory tract oedema,,,,
Jugular vein distension,,,,
Delirium tremens,,,,
Urine protein/creatinine ratio abnormal,,,,
Muscle operation,,,,
Fasciitis,,,,
Rhythm idioventricular,,,,
Conjunctival bleb,,,,
Metaphyseal corner fracture,,,,
Drug level therapeutic,,,,
Metastases to gallbladder,,,,
Hodgkin's disease recurrent,,,,
Radioembolisation,,,,
Penile discomfort,,,,
Arterial therapeutic procedure,,,,
Procedural anxiety,anxiety,,,
Electroconvulsive therapy,,,,
Arteriovenous fistula maturation failure,,,,
Insulin C-peptide increased,,,,
Haemangioma of bone,,,,
Neuromyotonia,,,,
Cardiac infection,,,,
High frequency ablation,,,,
Tearfulness,,,,
Lipoma,,,,
Red blood cell schistocytes present,,,,
Asthma-chronic obstructive pulmonary disease overlap syndrome,,,,
Moyamoya disease,,,,
Haemoperitoneum,,,,
Reversible airways obstruction,,,,
Postoperative wound complication,,,,
Oxygen saturation,,,,
Oral bacterial infection,,,,
Gastrointestinal wall thinning,,,,
Ultrasound scan,,,,
Antinuclear antibody negative,,,,
CD4 lymphocytes increased,,,,
Myocardial infarction,,,,
Bronchogram abnormal,,,,
Quadrantanopia,,,,
Thyroid stimulating immunoglobulin increased,,,,
Probiotic therapy,,,,
Skin erosion,skin_peeling,,,
Dysfunctional uterine bleeding,,,,
Campylobacter colitis,,,,
Severe acute respiratory syndrome,,,,
Parathyroid disorder,,,,
Blister,blister,,,
Skin hyperpigmentation,,,,
Retinogram abnormal,,,,
Haemorrhagic ovarian cyst,,,,
Enzyme abnormality,,,,
Prostate examination abnormal,,,,
Urine abnormality,continuous_feel_of_urine,,,
Transaminases abnormal,,,,
Acute myeloid leukaemia recurrent,,,,
Pituitary apoplexy,,,,
Prader-Willi syndrome,,,,
Human antichimeric antibody positive,,,,
Follicular thyroid cancer,,,,
High grade B-cell lymphoma Burkitt-like lymphoma,,,,
Puncture site haematoma,,,,
Encopresis,,,,
Abnormal loss of weight,weight_loss,,,
Skeletal dysplasia,,,,
Blood alkaline phosphatase increased,,,,
Troponin increased,,,,
Neovascular age-related macular degeneration,,,,
Nerve block,,,,
Concomitant disease aggravated,,,,
Hyperphosphaturia,,,,
Head and neck cancer stage IV,,,,
Overgrowth fungal,,,,
Meniscus cyst,,,,
Benign neoplasm of eye,,,,
Device programming error,,,,
Abnormal weight gain,weight_gain,obesity,,
Infusion site coldness,,,,
Myelodysplastic syndrome transformation,,,,
Poikilocytosis,,,,
White blood cell count decreased,,,,
Phrenic nerve irritation,,,,
Discharge,,,,
Small intestine carcinoma,,,,
Intracranial tumour haemorrhage,,,,
Oesophageal oedema,,,,
Uterine obstruction,,,,
Angiocentric lymphoma,,,,
Hepatitis A virus test positive,,,,
Peritoneal adhesions,,,,
Secondary amyloidosis,,,,
Application site scar,,,,
Vanishing bile duct syndrome,,,,
Embedded device,,,,
Diabetic ulcer,,,,
Blood electrolytes abnormal,,,,
Complications of transplanted heart,,,,
No reaction on previous exposure to drug,,,,
Wound closure,,,,
Clonus,,,,
Precancerous condition,,,,
Groin infection,,,,
Contrast media reaction,,,,
Bleeding time abnormal,,,,
Product contamination chemical,,,,
Oligohydramnios,,,,
Myelodysplastic syndrome,,,,
Gastrosplenic fistula,,,,
Platelet count increased,,,,
Parosmia,,,,
Feeding tube user,,,,
Dilatation intrahepatic duct acquired,,,,
Cerebral infarction foetal,,,,
Cyclic vomiting syndrome,,,,
Skin warm,,,,
Bilirubin conjugated abnormal,,,,
Neutropenia neonatal,,,,
Abdominoplasty,,,,
Electrocardiogram QT interval abnormal,,,,
Intraductal papillary breast neoplasm,,,,
Cryptorchism,,,,
Eosinophilic pneumonia acute,,,,
Temporal lobe epilepsy,,,,
Platelet count,,,,
Crossmatch incompatible,,,,
Magnesium deficiency,,,,
Polyarthritis,,,,
Urobilinogen urine,,,,
Illusion,,,,
Sensory disturbance,,,,
Transferrin saturation increased,,,,
Gonococcal infection,,,,
Acute aortic syndrome,,,,
Allodynia,,,,
Gestational trophoblastic tumour,,,,
Device information output issue,,,,
Personality disorder,,,,
Neuropsychiatric symptoms,,,,
Glycosylated haemoglobin decreased,,,,
Endometrial cancer,,,,
Biloma infected,,,,
Eye burns,,,,
Myxofibrosarcoma,,,,
Protein C increased,,,,
Intranasal paraesthesia,,,,
Foreign body aspiration,,,,
Sebaceous gland infection,,,,
Laryngeal squamous cell carcinoma,,,,
Underdose,,,,
Cardiac function disturbance postoperative,,,,
Cytomegalovirus test positive,,,,
Blood osmolarity decreased,,,,
Vitamin K decreased,,,,
Biliary tract disorder,,,,
Radiation skin injury,,,,
Weight,,,,
Product physical issue,,,,
Therapeutic reaction time decreased,,,,
Retinoblastoma,,,,
Thrombophlebitis superficial,,,,
Urogenital fistula,,,,
Renal hypertension,,,,
Breast swelling,,,,
Transfusion-related immunomodulation reaction,,,,
Asplenia,,,,
Illiteracy,,,,
Bacterial disease carrier,,,,
Stoma site odour,,,,
Bladder disorder,,,,
Globulin abnormal,,,,
Empty sella syndrome,,,,
Thyroid gland injury,,,,
Hyperacusis,,,,
Nodal arrhythmia,,,,
Prinzmetal angina,,,,
Abdominal hernia,distention_of_abdomen,,,
Prolapse,,,,
Necrosis ischaemic,,,,
Hypervigilance,,,,
Large intestine benign neoplasm,,,,
Shone complex,,,,
Formication,,,,
Graft infection,,,,
Acute vestibular syndrome,,,,
Orgasm abnormal,,,,
Malignant melanoma in situ,,,,
Foetal hypokinesia,,,,
Gallbladder rupture,,,,
Central venous pressure increased,,,,
Hysterical psychosis,,,,
Endoscopy large bowel abnormal,,,,
Lymphoplasmacytoid lymphoma/immunocytoma recurrent,,,,
Lymphocyte count increased,,,,
Coma,coma,,,
Monocyte count increased,,,,
Gastrointestinal ischaemia,,,,
Cerebrovascular arteriovenous malformation,,,,
Ischaemia,,,,
Gastritis bacterial,swelling_of_stomach,,,
Myelitis transverse,,,,
Calcanectomy,,,,
Spirometry abnormal,,,,
Pustular psoriasis,,,,
Complications of transplanted lung,,,,
B-cell lymphoma recurrent,,,,
Glioma,,,,
Early satiety,,,,
Capillary permeability increased,,,,
Swelling,,,,
Cardiac function test abnormal,,,,
Blood HIV RNA increased,,,,
Stent malfunction,,,,
Tendon dislocation,,,,
Tongue rough,,,,
Anastomotic leak,,,,
Splenic haemorrhage,,,,
Retinal aneurysm,,,,
Bone prosthesis insertion,,,,
Sleep paralysis,,,,
Device leakage,,,,
Hernia,,,,
Blast cell count increased,,,,
Dermatitis,,,,
Infective pericardial effusion,,,,
Bradyarrhythmia,,,,
Semenuria,,,,
Arthritis reactive,,,,
Urinary bladder rupture,,,,
Gastrointestinal perforation,,,,
Thrombosis mesenteric vessel,,,,
Intestinal mucosal tear,,,,
Sexual dysfunction,,,,
Hypometabolism,,,,
Multiple chemical sensitivity,,,,
Product temperature excursion issue,,,,
Urinary tract infection enterococcal,,,,
Pelvic haemorrhage,,,,
Upper respiratory tract irritation,,,,
Accessory auricle,,,,
MELAS syndrome,,,,
Allergic sinusitis,sinus_pressure,,,
Emotional distress,,,,
Refraction disorder,,,,
CSF pressure,,,,
Meningocele,,,,
Idiopathic angioedema,,,,
Diabetic neuropathic ulcer,,,,
Faecal volume increased,,,,
Retching,,,,
Arterial disorder,,,,
Tenotomy,,,,
Device power source issue,,,,
Radiation necrosis,,,,
Suppressed lactation,,,,
Fibrosarcoma metastatic,,,,
Blood oestrogen decreased,,,,
Nephropathy,,,,
Blood testosterone free decreased,,,,
Romberg test positive,,,,
Tonsillar ulcer,,,,
Injection site alopecia,,,,
Gastroenteritis,,,,
Pseudoradicular syndrome,,,,
Pulmonary paracoccidioidomycosis,,,,
Tendon pain,,,,
Product packaging quantity issue,,,,
International normalised ratio abnormal,,,,
Heat exhaustion,,,,
Drug specific antibody present,,,,
Human herpesvirus 6 infection reactivation,,,,
External ear cellulitis,,,,
Product label counterfeit,,,,
Pulmonary arterial hypertension,,,,
Chiropractic,,,,
Suspected suicide attempt,,,,
Neoplasm of thymus,,,,
Necrotising enterocolitis neonatal,,,,
Pancreas infection,,,,
Brain malformation,,,,
Intra-uterine contraceptive device removal,,,,
Head injury,,,,
Achromotrichia acquired,,,,
Colorectal cancer metastatic,,,,
Dermatologic examination abnormal,,,,
Joint fluid drainage,,,,
Renal tumour excision,,,,
Product storage error,,,,
Noninfectious myelitis,,,,
Peripheral coldness,cold_hands_and_feets,,,
Foetal acidosis,,,,
Blood calcium abnormal,,,,
Spina bifida,,,,
Thyroid dermatopathy,,,,
Poisoning,,,,
Product availability issue,,,,
Increased tendency to bruise,bruising,,,
Shortened cervix,,,,
Gastrointestinal tube insertion,,,,
Gastrointestinal wall abnormal,,,,
Anal fissure,,,,
Masked fever,,,,
Ureteric obstruction,,,,
Testicular swelling,,,,
Fingerprint loss,,,,
Alopecia areata,,,,
Rhabdomyoma,,,,
PIK3CA-activated mutation,,,,
Diabetic hepatopathy,,,,
Device dislocation,,,,
Drug half-life reduced,,,,
Appendix cancer,,,,
Umbilical haemorrhage,,,,
Musculoskeletal discomfort,,,,
Thrombocytosis,,,,
Malignant neoplasm of choroid,,,,
Nephritis bacterial,,,,
Nail discolouration,,,,
Tuberculin test positive,,,,
Cardiac valve disease,,,,
Oligoasthenozoospermia,,,,
Anti-glomerular basement membrane antibody,,,,
Rales,,,,
Cataract congenital,,,,
Sebaceous gland disorder,,,,
Incisional hernia,,,,
Respiratory disorder,,,,
Orchitis noninfective,,,,
Gastrointestinal mucosal disorder,,,,
Shigella infection,,,,
Mydriasis,,,,
Corneal operation,,,,
Arterial repair,,,,
Yolk sac tumour site unspecified,,,,
Abdominal rebound tenderness,,,,
Excessive skin,,,,
Ovarian haemorrhage,,,,
Biopsy pancreas,,,,
Herpes simplex hepatitis,,,,
Ventricular asystole,,,,
Disseminated cryptococcosis,,,,
Infected fistula,,,,
Ganglioglioma,,,,
Catheter site ulcer,,,,
Bile duct cancer,,,,
Autoimmune cholangitis,,,,
Laryngeal ulceration,,,,
Ocular surface disease,,,,
Haemangioma,,,,
Hypohidrosis,,,,
Acute motor axonal neuropathy,,,,
Foetal heart rate indeterminate,,,,
Device allergy,,,,
Sedative therapy,,,,
Intra-abdominal fluid collection,,,,
Breast dysplasia,,,,
Graft versus host disease in liver,,,,
Gallbladder oedema,,,,
Unwanted awareness during anaesthesia,,,,
Superior semicircular canal dehiscence,,,,
Product primary packaging issue,,,,
Infusion site streaking,,,,
Gambling,,,,
Fungal cystitis,,,,
Fear of eating,,,,
Chronic cheek biting,,,,
Complement factor increased,,,,
Bone marrow transplant,,,,
Protein total decreased,,,,
Therapeutic nerve ablation,,,,
Catheter site exfoliation,,,,
Oesophageal cyst,,,,
Blood magnesium increased,,,,
Gastric stent insertion,,,,
Weight control,,,,
Cardiac valve abscess,,,,
Cardiac asthma,,,,
Genital erythema,,,,
Splenic necrosis,,,,
Pseudomonal sepsis,,,,
Paternal exposure during pregnancy,,,,
Blood creatine phosphokinase increased,,,,
Anogenital warts,,,,
Crystal urine present,,,,
Neutrophil hypersegmented morphology present,,,,
Pyogenic granuloma,,,,
Benign anorectal neoplasm,,,,
Kidney congestion,,,,
Genital herpes,,,,
Meniscal degeneration,,,,
Pupil fixed,,,,
Breast cyst excision,,,,
Chronic spontaneous urticaria,,,,
Postoperative ileus,,,,
Stoma site hypergranulation,,,,
Electrocardiogram T wave peaked,,,,
Feeling guilty,,,,
Incision site pain,,,,
Infusion site warmth,,,,
Scrotal disorder,,,,
Anal stenosis,,,,
Post viral fatigue syndrome,,,,
Microvillous inclusion disease,,,,
Drug level abnormal,,,,
Peritoneal effluent abnormal,,,,
N-terminal prohormone brain natriuretic peptide,,,,
Adnexa uteri mass,,,,
Tracheal deviation,,,,
Hepatic encephalopathy,,,,
Right ventricular systolic pressure decreased,,,,
Haematosalpinx,,,,
Central nervous system neoplasm,,,,
Unhealthy diet,,,,
Blood alkaline phosphatase abnormal,,,,
Oesophageal squamous cell carcinoma stage II,,,,
Erection increased,,,,
Bradycardia foetal,,,,
Congenital infection,,,,
Atypical pneumonia,,,,
Peptic ulcer perforation,,,,
Caecectomy,,,,
Small cell carcinoma,,,,
Bladder ulcer,,,,
Iris hypopigmentation,,,,
Uterine contractions during pregnancy,,,,
Behcet's syndrome,,,,
Chondrocalcinosis,,,,
pH urine decreased,,,,
Rectal cancer stage III,,,,
Suspected product contamination,,,,
Kidney malformation,,,,
Taste disorder,,,,
Coombs indirect test positive,,,,
Endocrine hypertension,,,,
Pulmonary renal syndrome,,,,
Granulomatous dermatitis,,,,
Ileostomy closure,,,,
Eye opacity,,,,
Precursor T-lymphoblastic lymphoma/leukaemia,,,,
Gilbert's syndrome,,,,
Keratosis follicular,,,,
Sinus bradycardia,sinus_pressure,,,
Sinus disorder,sinus_pressure,,,
Immune-mediated myositis,,,,
Wound secretion,,,,
Limb malformation,,,,
Groin pain,,,,
Precocious puberty,,,,
Tethered cord syndrome,,,,
Analgesic drug level above therapeutic,,,,
Goitre,enlarged_thyroid,,,
Joint adhesion,,,,
Enchondromatosis,,,,
Type IV hypersensitivity reaction,,,,
High arched palate,,,,
Atrial septal defect repair,,,,
Cytomegalovirus infection,,,,
Encephalocele,,,,
Genotype drug resistance test positive,,,,
Anaesthetic complication,,,,
Nausea,nausea,,,
Erythrocyanosis,,,,
Aptyalism,,,,
Aortic valve incompetence,,,,
Nephritic syndrome,,,,
Mutism,,,,
Cerebral palsy,,,,
Upper respiratory tract inflammation,,,,
Tricuspid valve incompetence,,,,
Cutaneous lupus erythematosus,,,,
Benign neoplasm of testis,,,,
Intra-ocular injection complication,,,,
Shoulder dystocia,,,,
Artificial crown procedure,,,,
Brain midline shift,,,,
Varicose vein,,,,
Cardiac function test,,,,
Infant irritability,irritability,,,
Cor triatriatum,,,,
Inability to afford medication,,,,
Anxiolytic therapy,,,,
Bleeding time prolonged,,,,
Musculoskeletal deformity,,,,
Erythema infectiosum,,,,
Pulmonary haemosiderosis,,,,
Blast cells absent,,,,
Pulmonary microemboli,,,,
Secondary hypogonadism,,,,
Rheumatoid factor positive,,,,
Reduced facial expression,,,,
Presenile dementia,,,,
Microangiopathy,,,,
Angiotensin converting enzyme increased,,,,
Hypocitraturia,,,,
Tri-iodothyronine free normal,,,,
Libido decreased,,,,
Anaphylactic shock,,,,
Slow speech,,,,
Yersinia infection,,,,
Vessel puncture site reaction,,,,
Chromosomal mutation,,,,
Adenocarcinoma of colon,,,,
Unintentional use for unapproved indication,,,,
Poisoning deliberate,,,,
Eczema nummular,,,,
Adenoidal hypertrophy,,,,
Heart alternation,,,,
Deep vein thrombosis postoperative,,,,
Pelvic congestion,,,,
Congenital toxoplasmosis,,,,
Roseolovirus test positive,,,,
Granulomatosis with polyangiitis,,,,
Uhthoff's phenomenon,,,,
Nasal obstruction,,,,
Basophil count decreased,,,,
Brain neoplasm malignant,,,,
Acanthoma,,,,
Device malfunction,,,,
Pulmonary artery thrombosis,,,,
Uterine prolapse,,,,
Amino acid level increased,,,,
Benign prostatic hyperplasia,,,,
Breath alcohol test positive,,,,
Gastroenteritis aeromonas,,,,
Necrotising fasciitis staphylococcal,,,,
Necrolytic migratory erythema,,,,
Small intestinal obstruction,,,,
Inferior vena cava dilatation,,,,
Parathyroid hormone-related protein abnormal,,,,
Oxygen consumption decreased,,,,
Adverse reaction,,,,
Automatism,,,,
Alpha 1 foetoprotein increased,,,,
Specific gravity urine abnormal,,,,
Joint hyperextension,,,,
NIH stroke scale score increased,,,,
Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids,,,,
Pancreatic mass,,,,
Intraocular pressure decreased,,,,
Caudal regression syndrome,,,,
Coombs direct test positive,,,,
Skin ulcer haemorrhage,,,,
Myelopathy,,,,
Cyclothymic disorder,,,,
Device related infection,,,,
Adiposis dolorosa,,,,
Serous retinal detachment,,,,
Resorption bone increased,,,,
Muscle relaxant therapy,,,,
Renal impairment,,,,
Alpha 1 globulin increased,,,,
Paraneoplastic arthritis,,,,
Sciatic nerve neuropathy,,,,
Drug trough level,,,,
Adenocarcinoma metastatic,,,,
Multiple fractures,,,,
Initial insomnia,,,,
Influenza A virus test positive,,,,
Coronary artery dissection,,,,
Diaphragmalgia,,,,
Mucosal erosion,,,,
Polydactyly,,,,
Cerebral hypoperfusion,,,,
Eczema weeping,,,,
Chronic actinic dermatitis,,,,
Feeling jittery,,,,
Suture removal,,,,
Septic embolus,,,,
Anticipatory anxiety,anxiety,,,
Cardiac tamponade,,,,
Human polyomavirus infection,,,,
Chondrodystrophy,,,,
Growth hormone deficiency,,,,
Sperm concentration zero,,,,
Laser therapy,,,,
Confusional state,,,,
Menstruation normal,,,,
Thalassaemia beta,,,,
Threat of redundancy,,,,
Chromaturia,,,,
Tongue dry,,,,
Intrusive thoughts,,,,
Tracheitis,,,,
Ear infection fungal,,,,
Ingrowing nail,,,,
Drug hypersensitivity,,,,
Hypoplastic right heart syndrome,,,,
Scleral pigmentation,,,,
Therapeutic product effective for unapproved indication,,,,
